# cfgfile = ./single-default/TOS2/TOS2.1803.meiyo_m4-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
4477,S04,L20,M01,2.76642,-5.368179570739445e-05,30.570570665243167,-0.00016105686174353284,False,52934.39762,745.72551,136.05791,16.20308,284.35,-0.25,-0.07,52938.225595,736.88798,142.11292,16.53929,287.66,0.22,-1.29,-0.2613337132373077,0.03300942295335377,-0.08310988668345745,0.030868359571344303,0.006571208626444588,-0.23974195028021877,-1.940478875492313e-05
4478,S04,L20,M02,2.400694,-6.191275713865445e-05,6.075443616799106,-0.00014662391115817023,False,52935.48765,743.27851,137.82051,16.36662,285.22,-0.16,-0.19,52938.9499,735.16847,143.31476,16.47167,288.15,0.14,-1.43,-0.26132533266465396,0.03299458814246377,-0.08311241227363175,0.030874221303627238,0.006576421961664688,-0.21825771369337368,-2.578952467022222e-05
4479,S04,L20,M02,2.404589,-2.6834651076577374e-05,6.924817633722341,-0.00014802430933538138,False,52944.397555,722.83467,154.11597,16.07616,290.49,-0.43,0.4,52947.8637,714.44571,161.59879,16.44533,291.69,-0.35,0.16,-0.2612427943179041,0.03284884401409004,-0.08313719718612397,0.030931755605000985,0.006627535794265553,-0.22034228299727637,-1.115976621226221e-05
4480,S04,L20,M03,2.904243,0.00010523653462854871,35.067498658323984,-0.00017003541589072452,False,52945.487585,720.32784,156.49594,16.17192,290.95,-0.52,0.58,52949.453385,710.32733,164.83266,16.47735,292.34,0.14,-0.73,-0.2612303519329212,0.03282693060431968,-0.08314091945780692,0.03094039770313984,0.006635204657934114,-0.2531070193535997,3.623544401365475e-05
4481,S04,L20,M03,2.908463,8.424048551916101e-05,35.194037862931,-0.00017172068450782072,False,52954.397575,698.29986,176.55329,16.08255,294.16,0.22,0.96,52958.367595,688.56011,186.3784,16.19348,295.53,-0.81,0.16,-0.26114739829182165,0.03268116504128299,-0.08316565520518238,0.030997834987896267,0.006686122591570966,-0.25561563389280556,2.896391857801217e-05
4482,S04,L20,M04,3.198789,-3.276937926786111e-06,42.06839994647282,-0.00018745116171042035,False,52955.487605,695.75799,179.3144,16.04347,294.43,-0.15,1.39,52959.74795,684.80638,189.6619,16.43633,296.46,-0.62,-1.12,-0.26113587173364283,0.03266096113741364,-0.08316908000137313,0.031005788659439794,0.0066931657104651165,-0.27903130983833035,-1.0244307851459133e-06
4483,S04,L20,M04,3.181309,-3.137159844868778e-05,41.7238591866799,-0.0001893227623607708,False,52964.39767,672.93435,202.43039,16.17949,297.89,0.48,-0.44,52968.640535,662.84272,214.3749,16.07494,295.38,-0.41,0.87,-0.26105261765899124,0.032515355526893,-0.08319373805963803,0.031063061673201872,0.006743832101371892,-0.2818172898034389,-9.861223304208355e-06
4484,S04,L20,M01,2.697685,-4.631839683741506e-06,28.019198993664958,-0.0001666616190719534,False,52965.4877,670.30849,205.4622,16.09413,297.51,0.11,-0.41,52969.24694,661.38152,216.14623,16.12385,295.07,-0.34,1.38,-0.26104466837054247,0.032501479958213036,-0.08319608586064844,0.031068515539921435,0.006748652642358084,-0.2480849382052076,-1.7169683205198183e-06
4485,S04,L20,M01,2.67702,1.1381421690834849e-05,27.158767023885844,-0.0001685112171286609,False,52974.39783,647.67681,230.54529,16.41732,292.83,-0.3,1.37,52978.136405,636.77429,239.62275,16.38513,291.91,0.28,0.18,-0.26096105470898545,0.032355884290333065,-0.08322069523980447,0.031125691018129134,0.0067991340491241874,-0.2508381661058957,4.251526582108034e-06
4486,S04,L20,M02,2.427449,-3.577480913443802e-05,10.441082601633752,-0.000154122849498701,False,52975.48775,644.48679,233.21667,16.43664,292.56,-0.36,0.57,52978.976755,634.39311,241.80337,16.2901,291.64,0.38,0.68,-0.2609519681015505,0.03234009446046253,-0.08322336172139877,0.031131886923425674,0.006804599486541337,-0.2294202936873437,-1.4737615140189564e-05
